종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"068790","DMS","KOSDAQ","우량기업부","6500","90","1.40","6440","6550","6360","94054","607854300","159724896500","24573061"
"007340","DN오토모티브","KOSPI",,"71300","800","1.13","69600","71700","69600","12434","883606300","712572556500","9994005"
"004840","DRB동일","KOSPI",,"5900","-50","-0.84","5820","5950","5820","36153","212496120","117587000000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","2720","20","0.74","2700","2740","2695","22119","60048900","75647016160","27811403"
"065150","DSEN","KOSDAQ","투자주의환기종목(소속부없음)","275","-7","-2.48","289","289","275","250343","69913884","34452661375","125282405"
"155660","DSR","KOSPI",,"4430","45","1.03","4385","4445","4370","27149","119540435","70880000000","16000000"
"069730","DSR제강","KOSPI",,"4235","45","1.07","4195","4280","4170","30253","127518230","60984000000","14400000"
"180400","DXVX","KOSDAQ","중견기업부","5890","30","0.51","5870","6000","5750","158455","933667240","177992454480","30219432"
"017940","E1","KOSPI",,"58300","200","0.34","58100","58500","57800","5130","298849600","399938000000","6860000"
"245620","EDGC","KOSDAQ","기술성장기업부","592","-15","-2.47","610","611","567","3060732","1792478878","67446006480","113929065"
"037370","EG","KOSDAQ","중견기업부","11580","90","0.78","11470","11770","11370","35699","415667410","99877175760","8624972"
"278990","EMB","KONEX","일반기업부","12000","500","4.35","11010","12000","11000","591","6702020","56591448000","4715954"
"365550","ESR켄달스퀘어리츠","KOSPI",,"3525","50","1.44","3475","3525","3450","353758","1239630210","751138725000","213089000"
"050120","ES큐브","KOSDAQ","벤처기업부","2995","30","1.01","2950","3030","2930","9177","27348480","40624437570","13564086"
"383220","F&F","KOSPI",,"87100","-1300","-1.47","88500","88600","84900","238657","20562575900","3336546232500","38307075"
"007700","F&F홀딩스","KOSPI",,"16270","150","0.93","16100","16310","16100","8224","133366700","636390751090","39114367"
"214270","FSN","KOSDAQ","중견기업부","2155","70","3.36","2090","2195","2075","306448","660554760","71654747765","33250463"
"130500","GH신소재","KOSDAQ","중견기업부","2700","-20","-0.74","2730","2750","2645","19714","52770835","39271640400","14545052"
"114090","GKL","KOSPI",,"14150","150","1.07","13980","14240","13940","129516","1820412270","875257730500","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","2745","5","0.18","2745","2760","2710","22944","62832285","184944375000","67375000"
"078930","GS","KOSPI",,"42400","-100","-0.24","42550","42600","41800","124419","5251413750","3939612027200","92915378"
"083450","GST","KOSDAQ","우량기업부","23650","50","0.21","23600","24500","23600","58529","1401792000","220364669250","9317745"
"006360","GS건설","KOSPI",,"16000","190","1.20","15820","16340","15800","855217","13759555860","1369303840000","85581490"
"001250","GS글로벌","KOSPI",,"2510","60","2.45","2470","2520","2460","636047","1591838410","207159747640","82533764"
"007070","GS리테일","KOSPI",,"24850","-50","-0.20","24900","25050","24350","135494","3361067250","2602240361700","104717922"
"078935","GS우","KOSPI",,"35750","-50","-0.14","35800","35950","35550","1156","41406700","63807529500","1784826"
"297890","HB솔루션","KOSDAQ","우량기업부","4370","10","0.23","4350","4455","4330","604028","2657157090","302415523690","69202637"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2405","10","0.42","2395","2430","2380","644530","1554347450","222981777980","92715916"
"012630","HDC","KOSPI",,"6800","-120","-1.73","6990","6990","6800","86037","591550220","406243702800","59741721"
"039570","HDC랩스","KOSPI",,"7420","-30","-0.40","7500","7500","7350","18646","137841480","192605399420","25957601"
"089470","HDC현대EP","KOSPI",,"4765","75","1.60","4710","4770","4690","48438","229889050","152003500000","31900000"
"294870","HDC현대산업개발","KOSPI",,"13960","-190","-1.34","14230","14230","13900","367810","5162526430","920066326800","65907330"
"009540","HD한국조선해양","KOSPI",,"100900","2700","2.75","98300","101800","97900","204878","20617637100","7141007404400","70773116"
"267250","HD현대","KOSPI",,"60200","900","1.52","59400","60500","59300","112090","6729228200","4755383717000","78993085"
"267270","HD현대건설기계","KOSPI",,"47900","1450","3.12","46500","48150","46500","177375","8460574900","943667984700","19700793"
"322000","HD현대에너지솔루션","KOSPI",,"24200","650","2.76","23700","24300","23350","45324","1085692750","271040000000","11200000"
"042670","HD현대인프라코어","KOSPI",,"7700","170","2.26","7530","7810","7500","2260117","17475588670","1536946588100","199603453"
"267260","HD현대일렉트릭","KOSPI",,"85400","-2600","-2.95","87300","87500","84800","235286","20200126000","3078425329000","36047135"
"329180","HD현대중공업","KOSPI",,"114700","3300","2.96","111300","116000","110600","132032","15122707500","10182276405200","88773116"
"097230","HJ중공업","KOSPI",,"3935","-5","-0.13","3940","3940","3800","33322","128691020","327684295735","83274281"
"195940","HK이노엔","KOSDAQ GLOBAL","중견기업부","42650","400","0.95","42250","42800","41300","206320","8685843500","1208269851150","28329891"
"014790","HL D&I","KOSPI",,"2140","45","2.15","2095","2140","2095","21822","46279540","81017406140","37858601"
"028300","HLB","KOSDAQ","중견기업부","31100","300","0.97","30700","31200","30500","347781","10758116050","4012085946900","129005979"
"003580","HLB글로벌","KOSPI",,"3610","25","0.70","3565","3635","3545","42259","152083890","152992785530","42380273"
"278650","HLB바이오스텝","KOSDAQ","중견기업부","2625","35","1.35","2575","2655","2560","163197","426835395","206325892500","78600340"
"343090","HLB사이언스","KONEX","일반기업부","1658","-10","-0.60","1668","1668","1515","11095","17373861","27060823170","16321365"
"067630","HLB생명과학","KOSDAQ","중견기업부","9130","60","0.66","9070","9190","8970","128642","1169050490","929554981630","101813251"
"024850","HLB이노베이션","KOSDAQ","중견기업부","2355","15","0.64","2340","2370","2325","127137","298836940","156624529005","66507231"
"047920","HLB제약","KOSDAQ","기술성장기업부","12200","50","0.41","12170","12290","12000","60192","734763700","367729081600","30141728"
"115450","HLB테라퓨틱스","KOSDAQ","중견기업부","3605","15","0.42","3600","3640","3515","67586","243583365","264272441580","73307196"
